Tipo;Sexo;Opinião;Modelo;Outra;Razão;Renda;Anos;Gasto;Minutos
Pré-pago;Feminino;Confiável;Gradiente;Cumbuca;Maior cobertura;2,196;2;32,8;47
Pós-pago;Masculino;Mediana;Motorola;Mortinho;Qualidade do sinal;7,506;5;55,4;74
Pré-pago;Masculino;Confiável;Motorola;Cumbuca;Maior cobertura;8,016;1;30,52;56
Pré-pago;Feminino;Excelente;Ericsson;Cumbuca;Maior cobertura;1,509;7;77;62
Pós-pago;Femi ;Terrível;Motorola;Cumbuca;Qualidade do sinal;4,248;8;85,6;92
Pré-pago;Feminino;Excelente;Samsung;Mortinho;Maior cobertura;1,951;1;30,52;66
Pré-pago;Feminino;Sofrível;Motorola;Cumbuca;Maior cobertura;1,311;5;61,2;77
Pré-pago;Feminino;Mediana;Ericsson;Ferrocom;Maior cobertura;2,07;3;38,6;64
Pré-pago;Masculino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,063;2;32,8;38
Pré-pago;Masculino;Mediana;Gradiente;Cumbuca;Maior cobertura;3,927;3;43,8;67
Pré-pago;Feminino;Mediana;Motorola;Cumbuca;Maior cobertura;1,398;1;30,52;64
Pré-pago;Masculino;Mediana;Gradiente;Nenhuma;Maior cobertura;4,593;6;72,2;75
Pré-pago;Feminino;Excelente;Ericsson;Mortinho;Maior cobertura;3,03;3;35,4;65
Pré-pago;Masculino;Confiável;Gradiente;Cumbuca;Maior cobertura;1,492;4;52,6;52
Pós-pago;Feminino;Mediana;Samsung;Mortinho;Qualidade do sinal;8,55;5;58,6;83
Pré-pago;Feminino;Mediana;Ericsson;Escuridão;Maior cobertura;3,369;4;52,6;71
Pré-pago;Masculino;Me ;Gradiente;Cumbuca;Maior cobertura;2,778;7;78,2;67
Pré-pago;Feminino;Sofrível;Motorola;Ferrocom;Qualidade do sinal;5,484;5;60;85
Pré-pago;Feminino;Confiável;Ericsson;Ferrocom;Maior cobertura;3,333;2;33,6;62
Pós-pago;Feminino;Terrível;Gradiente;Nenhuma;Tarifa menor;7,695;7;80,4;103
Pós-pago;Feminino;Terrível;Samsung;Ferrocom;Maior cobertura;8,082;4;52,8;71
Pré-pago;Masculino;Terrível;Samsung;Ferrocom;Qualidade do sinal;13,635;6;70,2;88
Pós-pago;Masculino;Sofrível;Samsung;Nenhuma;Tarifa menor;15,696;5;63,2;89
Pós-pago;Masculino;Terrível;Gradiente;Cumbuca;Qualidade do sinal;16,425;5;61,6;86
Pré-pago;Feminino;Mediana;Ericsson;Ferrocom;Maior cobertura;4,044;10;105,2;62
Pré-pago;Masculino;Mediana;Samsung;Cumbuca;Maior cobertura;1,924;2;32,2;70
Pós-pago;Feminino;Mediana;Motorola;Nenhuma;Tarifa menor;13,542;4;45;98
Pré-pago;Masculino;Confiável;Motorola;Nenhuma;Maior cobertura;1,608;5;59,4;63
Pré-pago;Feminino;Mediana;Gradiente;Cumbuca;Maior cobertura;1,645;5;61,4;57
Pré-pago;Masculino;Mediana;Motorola;Nenhuma;Qualidade do sinal;4,593;4;47,8;77
Pós-pago;Feminino;Sofrível;Samsung;Cumbuca;Qualidade do sinal;4,77;7;75,2;83
Pré-pago;Masculino;Mediana;Samsung;Cumbuca;Maior cobertura;1,738;2;32,6;78
Pré-pago;Feminino;Mediana;Motorola;Ferrocom;Qualidade do sinal;8,214;9;97,4;82
Pré-pago;Masculino;Mediana;Samsung;Escuridão;Maior cobertura;1,473;0;30,52;60
Pré-pago;Feminino;Sofrível;Samsung;Cumbuca;Maior cobertura;1,26;7;78;77
Pré-pago;Feminino;Me ;Gradiente;Escuridão;Maior cobertura;1,873;4;46,6;62
Pré-pago;Masculino;Confiável;Ericsson;Cumbuca;Maior cobertura;4,503;7;76,8;63
Pré-pago;Feminino;Confiável;Motorola;Cumbuca;Maior cobertura;1,243;4;48;61
Pré-pago;Feminino;Excelente;Samsung;Nenhuma;Maior cobertura;1,507;3;35,6;55
Pré-pago;Feminino;Confiável;Motorola;Cumbuca;Maior cobertura;1,591;5;62,8;66
Pré-pago;Feminino;Terrível;Samsung;Ferrocom;Maior cobertura;1,738;4;52,6;66
Pós-pago;Masculino;Mediana;Gradiente;Cumbuca;Maior cobertura;3,438;4;52;63
Pós-pago;Feminino;Mediana;Samsung;Nenhuma;Qualidade do sinal;10,071;6;73,8;92
Pós-pago;Masculino;Sofrível;Gradiente;Nenhuma;Qualidade do sinal;17,835;9;101,4;77
Pré-pago;Feminino;Mediana;Samsung;Cumbuca;Maior cobertura;1,929;6;71,4;70
Pré-pago;Feminino;Confiável;Motorola;Cumbuca;Maior cobertura;1,318;6;67,6;47
Pré-pago;Masculino;Excelente;Ericsson;Cumbuca;Maior cobertura;2,487;3;40,8;52
Pós-pago;Feminino;Terrível;Samsung;Nenhuma;Tarifa menor;18,858;5;59;98
Pré-pago;Masculino;Confiável;Gradiente;Nenhuma;Qualidade do sinal;12,9;6;73,4;78
Pré-pago;Masculino;Sofrível;Motorola;Cumbuca;Qualidade do sinal;4,044; ;104,8;93
Pré-pago;Masculino;Confiável;Ericsson;Cumbuca;Maior cobertura;2,271;7;75,2;63
Pós-pago;Masculino;Sofrível;Motorola;Nenhuma;Tarifa menor;10,071;3;41,8;101
Pré-pago;Feminino;Sofrível;Motorola;Cumbuca;Maior cobertura;1,548;9;102,4;73
Pré-pago;Masculino;Sofrível;Motorola;Ferrocom;Qualidade do sinal;7,632;6;66;77
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;13,08;7;82,2;95
Pós-pago;Masculino;Sofrível;Siemens;Mortinho;Tarifa menor;19,44;5;63,2;92
Pré-pago;Feminino;Con ;Gradiente;Escuridão;Maior cobertura;3,231;3;42,2;69
Pós-pago;Masculino;Mediana;Ericsson;Mortinho;Tarifa menor;10,458;2;34;86
Pré-pago;Masculino;Sofrível;Samsung;Nenhuma;Tarifa menor;10,302;7;80,6;87
Pré-pago;Masculino;Excelente;Motorola;Nenhuma;Qualidade do sinal;3,81;2;30,52;69
Pré-pago;Feminino;Sofrível;Motorola;Cumbuca;Maior cobertura;7,26;3;41,8;76
Pós-pago;Masculino;Mediana;Siemens;Nenhuma;Tarifa menor;24,255;7;78,4;97
Pré-pago;Feminino;Excelente;Gradiente;Ferrocom;Maior cobertura;1,197;4;50;49
Pós-pago;Masculino;Sofrível;Gradiente;Escuridão;Maior cobertura;1,884;4;53,8;78
Pós-pago;Feminino;Confiável;Gradiente;Nenhuma;Maior cobertura;3,657;4;49,6;57
Pré-pago;Feminino;Mediana;Ericsson;Cumbuca;Maior cobertura;1,548;2;33;59
Pré-pago;Masculino;Sofrível;Samsung;Ferrocom;Qualidade do sinal;4,248;6;68,4;78
Pré-pago;Masculino;Excele ;Siemens;Cumbuca;Maior cobertura;3,3;5;58,2;80
Pré-pago;Feminino;Mediana;Gradiente;Cumbuca;Maior cobertura;1,527;4;45,4;83
Pré-pago;Feminino;Mediana;Samsung;Cumbuca;Maior cobertura;2,934; ;51,6;78
Pré-pago;Feminino;Sofrível;Motor ;Nenhuma;Maior cobertura;1,71;0;30,52;61
Pós-pago;Masculino;Mediana;Gradiente;Nenhuma;Tarifa menor;4,68;5;56,4;80
Pré-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;5,094;6;73;95
Pós-pago;Masculino;Sofrível;Siemens;Nenhuma;Tarifa menor;15,9;6;70,8;84
Pós-pago;Masculino;Sofrível;Gradiente;Mortinho;Qualidade do sinal;7,38;3;43,6;86
Pós-pago;Feminino;Excelente;Motorola;Nenhuma;Maior cobertura;5,19;7;84,8;57
Pré-pago;Masculino;Terrível;Motorola;Mortinho;Maior cobertura;10,071;5;55,2;87
Pós-pago;Masculino;Mediana;Samsung;Ferrocom;Qualidade do sinal;6,783;4;50,8;81
Pós-pago;Masculino;Sofrível;Siemens;Nenhuma;Tarifa menor;23,187;8;93,8;106
Pós-pago;Masculino;Sofrível;Siemens;Nenhuma;Tarifa menor;6,003;5;61,6;93
Pré-pago;Masculino;Mediana;Motorola;Ferrocom;Qualidade do sinal;5,688;5;58,8;82
Pré-pago;Feminino;Mediana;Ericsson;Ferrocom;Maior cobertura;5,688;7;81,4;74
Pré-pago;Masculino;Excelente;Samsung;Cumbuca;Maior cobertura;4,332;6;67,4;75
Pós-pago;Masculino;Mediana;Gradiente;Mortinho;Maior cobertura;3,621;3;43,8;65
Pós-pago;Feminino;Sofrível;Samsung;Nenhuma;Qualidade do sinal;6,054;5;57,2;80
Pós-pago;Feminino;Terrível;Siemens;Ferrocom;Tarifa menor;5,535;7;79,6;87
Pós-pago;Masculino;Mediana;Motorola;Escuridão;Qualidade do sinal;3,438;5;56,2;75
Pós-pago;Masculino;Excelente;Gradiente;Cumbuca;Qualidade do sinal;7,38;6;70,2;77
Pré-pago;Feminino;Excelente;Samsung;Cumbuca;Maior cobertura;1,483;2;30,52;67
Pré-pago;Feminino;Terrível;Motorola;Nenhuma;Qualidade do sinal;3,3;4;48,2;80
Pré-pago;Feminino;Confiável;Ericsson;Ferrocom;Maior cobertura;1,204;5;57,2;65
Pré-pago;Masculino;Mediana;Siemens;Cumbuca;Maior cobertura;9,693;6;72,8;86
Pré-pago;Feminino;Confiável;Gradiente;Mortinho;Maior cobertura;1,189;4;53,4;48
Pré-pago;Feminino;Mediana;Samsung;Cumbuca;Maior cobertura;2,271;8;87,2;71
Pós-pago;Masculino;Mediana;Siemens;Nenhuma;Qualidade do sinal;5,79;3;43,4;63
Pré-pago;Feminino;Confiável;Motorola;Escuridão;Maior cobertura;1,71;2;34,6;56
Pré-pago;Feminino;Excelente;Ericsson;Cumbuca;Maior cobertura;1,873;5;62;53
Pós-pago;Feminino;Terrível;Motorola;Nenhuma;Tarifa menor;3,231;6;68,6;87
Pré-pago;Feminino;Mediana;Motorola;Cumbuca;Maior cobertura;2,631;3;42,2;67
Pós-pago;Feminino;Confiável;Samsung;Escuridão;Maior cobertura;5,688;6;70,4;66
Pós-pago;Masculino;Me ;Gradiente;Nenhuma;Qualidade do sinal;11,934;6;69,2;70
Pós-pago;Masculino;Mediana;Ericsson;Escuridão;Maior cobertura;3,771;2;30,52;52
Pré-pago;Feminino;Confiável;Gradiente;Escuridão;Maior cobertura;1,689;2;30,52;67
Pré-pago;Feminino;Mediana;Gradiente;Nenhuma;Qualidade do sinal;3,849;5;57,6;89
Pós-pago;Feminino;Excelente;Gradiente;Cumbuca;Maior cobertura;2,601;3;36,2;78
Pós-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;3,231;6;65,4;75
Pré-pago;Masculino;Sofrível;Samsung;Escuridão;Qualidade do sinal;5,79;7;83,6;68
Pré-pago;Feminino;Mediana;Motorola;Cumbuca;Maior cobertura;1,609;6;67;68
Pré-pago;Masculino;Terrível;Samsung;Nenhuma;Qualidade do sinal;4,125;6;67,6;72
Pós-pago;Masculino;Sofrível;Siemens;Nenhuma;Tarifa menor;5,949;7;77,2;86
Pré-pago;Masculino;Mediana;Samsung;Ferrocom;Tarifa menor;14,691;7;84,6;94
Pré-pago;Feminino;Mediana;Gradiente;Ferrocom;Maior cobertura;3,621;3;41,6;78
Pós-pago;Feminino;Mediana;Motorola;Nenhuma;Maior cobertura;6,054;2;30,6;74
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,71;6;70,8;48
Pré-pago;Feminino;Sofrível;Ericsson;Nenhuma;Maior cobertura;2,631;5;56;69
Pré-pago;Feminino;Mediana;Motorola;Cumbuca;Maior cobertura;2,07;4;51,8;72
Pós-pago;Feminino;Sofrível;Siemens;Nenhuma;Qualidade do sinal;7,077;6;67,6;70
Pré-pago;Masculino;Mediana;Motorola;Cumbuca;Maior cobertura;4,461;3;40,4;67
Pré-pago;Masculino;Mediana;Ericsson;Cumbuca;Maior cobertura;1,311;4;47,6;48
Pré-pago;Masculino;Terrível;Motorola;Cumbuca;Qualidade do sinal;6,054;6;72,8;93
Pós-pago;Masculino;Terrível;Motorola;Mortinho;Qualidade do sinal;11,262;4;53,6;103
Pós-pago;Masculino;Sofrível;Samsung;Nenhuma;Qualidade do sinal;7,017;8;93,2;82
Pré-pago;Feminino;Mediana;Motorola;Nenhuma;Maior cobertura;2,145;6;73,8;88
Pré-pago;Feminino;Mediana;Gradiente;Cumbuca;Maior cobertura;1,473;3;37,2;73
Pré-pago;Masculino;Sofrível;Siemens;Nenhuma;Tarifa menor;5,094;6;74;96
Pós-pago;Masculino;Mediana;Motorola;Nenhuma;Tarifa menor;9,843;4;51,4;94
Pó ;Feminino;Terrível;Ericsson;Nenhuma;Tarifa menor;8,688;6;72,6;78
Pré-pago;Masculino;Confiável;Gradiente;Escuridão;Maior cobertura;4,68;4;46,8;73
Pós-pago;Feminino;Terrível;Motorola;Escuridão;Qualidade do sinal;3,162;8;86,8;81
Pós-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;5,949;7;81,6;76
Pós-pago;Masculino;Terrível;Motorola;Nenhuma;Tarifa menor;6,219;5;64,6;85
Pré-pago;Masculino;Mediana;Gradiente;Nenhuma;Maior cobertura;1,794;4;52,8;56
Pós-pago;Masculino;Sofrível;Samsung;Nenhuma;Tarifa menor;14,397;7;75,8;73
Pós-pago;Masculino;Terrível;Siemens;Escuridão;Tarifa menor;7,758;6;68,4;87
Pré-pago;Masculino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,369;3;42,2;68
Pós-pago;Masculino;Excelente;Motorola;Cumbuca;Maior cobertura;9,18;4;48,4;81
Pré-pago;Ma ;Terrível;Siemens;Cumbuca;Tarifa menor;12,018;7;79,8;106
Pós-pago;Feminino;Sofrível;Siemens;Cumbuca;Maior cobertura;4,248;7;78,4;81
Pós-pago;Masculino;Terrível;Siemens;Cumbuca;Tarifa menor;2,904;6;72;78
Pré-pago;Masculino;Sofrível;Motorola;Nenhuma;Maior cobertura;2,352;6;67,4;74
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;12,543;6;72,8;95
Pós-pago;Feminino;Terrível;Ericsson;Nenhuma;Qualidade do sinal;8,484;8;86;76
Pré-pago;Feminino;Mediana;Ericsson;Escuridão;Maior cobertura;2,904;7;78,8;79
Pós-pago;Feminino;Mediana;Samsung;Cumbuca;Maior cobertura;5,484;6;70,2;73
Pré-pago;Feminino;Sofrível;Gradiente;Cumbuca;Maior cobertura;3,096;4;49,6;75
Pré-pago;Feminino;Mediana;Ericsson;Nenhuma;Maior cobertura;1,839;2;30,52;71
Pré-pago;Masculino;Mediana;Siemens;Ferrocom;Qualidade do sinal;5,949;5;55,6;83
Pós-pago;Masculino;Mediana;Motorola;Escuridão;Qualidade do sinal;12,366;8;90,6;81
Pós-pago;Masculino;Terrível;Samsung;Ferrocom;Tarifa menor;8,214;8;93,4;95
Pré-pago;Masculino;Confiável;Ericsson;Nenhuma;Maior cobertura;1,104;3;43,8;50
Pré-pago;Masculino;Sofrível;Siemens;Nenhuma;Tarifa menor;13,917;6;70,2;91
Pós-pago;Feminino;Sofrível;Motorola;Nenhuma;Tarifa menor;6,162;7;77;94
Pré-pago;Feminino;Sofrível;Siemens;Cumbuca;Maior cobertura;1,939;3;38;82
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1,618;7;76,6;73
Pós-pago;Feminino;Mediana;Samsung;Mortinho;Maior cobertura;2,997;1;30,52;72
Pós-pago;Masculino;Excelente;Motorola;Nenhuma;Maior cobertura;5,535;5;55,6;75
Pós-pago;Masculino;Sofrível;Siemens;Ferrocom;Tarifa menor;11,343;7;82,6;87
Pré-pago;Feminino;Sofrível;Gradiente;Nenhuma;Maior cobertura;5,385;5;57,6;69
Pré-pago;Masculino;Terrível;Motorola;Nenhuma;Qualidade do sinal;6,9;9;102,6;68
Pós-pago;Masculino;Sofrível;Samsung;Nenhuma;Qualidade do sinal;3,696;6;68;68
Pós-pago;Masculino;Sofrível;Motorola;Mortinho;Qualidade do sinal;11,679;7;78,4;77
Pré-pago;Masculino;Excelente;Gradiente;Cumbuca;Maior cobertura;3,585;4;54,6;75
Pós-pago;Feminino;Terrível;Siemens;Nenhuma;Tarifa menor;8,967;9;99,6;89
Pós-pago;Masculino;Excelente;Motorola;Nenhuma;Qualidade do sinal;5,844;3;40;71
Pós-pago; ;Mediana;Motorola;Ferrocom;Maior cobertura;2,271;7;77,6;69
Pós-pago;Feminino;Excelente;Siemens;Cumbuca;Maior cobertura;1,473;7;82,8;66
Pós-pago;Masculino;Mediana;Motorola;Nenhuma;Qualidade do sinal;8,349;8;89,2;63
Pré-pago;Feminino;Sofrível;Motorola;Cumbuca;Maior cobertura;1,149;4;54,8;65
Pré-pago;Masculino;Mediana;Motorola;Nenhuma;Maior cobertura;2,169;2;34,8;65
Pré-pago;Masculino;Confiável;Ericsson;Mortinho;Maior cobertura;4,77;6;72,4;67
Pré-pago;Feminino;Mediana;Motorola;Ferrocom;Maior cobertura;4,044;7;83;79
Pré-pago;Masculino;Mediana;Ericsson;Cumbuca;Maior cobertura;6,108;3;41,8;66
Pós-pago;Masculino;Sofrível;Motorola;Ferrocom;Qualidade do sinal;6,666;6;73;84
Pré-pago;Masculino;Sofrível;Samsung;Nenhuma;Qualidade do sinal;13,356;3;40,6;72
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;22,275;6;65,6;104
