Tipo;Sexo;Opinião;Modelo;Outra;Razão;Renda;Anos;Gasto;Minutos;ID
Pré-pago;Masculino;Mediana;Motorola;Nenhuma;Qualidade do sinal;5190,0;8;85,8;85;23
Pós-pago;Masculino;Sofrível;Motorola;Ferrocom;Tarifa menor;8826,0;10;107,8;90;24
Pós-pago;Feminino;Terrível;Gradiente;Nenhuma;Tarifa menor;6273,0;4;53,8;96;25
Pós-pago;Masculino;Terrível;Siemens;Mortinho;Tarifa menor;32448,0;10;109,0;106;26
Pós-pago;Feminino;Excelente;Siemens;Nenhuma;Maior cobertura;2460,0;6;69,8;79;27
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1974,0;3;43,2;50;28
Pós-pago;Masculino;Terrível;Motorola;Mortinho;Tarifa menor;13449,0;8;89,0;108;29
Pré-pago;Masculino;Excelente;Ericsson;Cumbuca;Maior cobertura;2904,0;5;61,0;74;30
Pós-pago;Masculino;Sofrível;Motorola;Nenhuma;Tarifa menor;13728,0;6;67,0;105;31
Pré-pago;Feminino;Excelente;Gradiente;Nenhuma;Qualidade do sinal;5484,0;9;103,4;93;32
Pré-pago;Feminino;Confiável;Gradiente;Cumbuca;Maior cobertura;1705,0;5;55,8;66;33
Pós-pago;Masculino;Sofrível;Samsung;Nenhuma;Tarifa menor;17283,0;8;93,6;59;34
Pré-pago;Feminino;Mediana;Samsung;Cumbuca;Maior cobertura;3810,0;3;39,4;72;35
Pré-pago;Masculino;Sofrível;Motorola;Cumbuca;Maior cobertura;1089,0;8;89,6;52;36
Pré-pago;Masculino;Sofrível;Siemens;Mortinho;Tarifa menor;14205,0;6;73,2;95;37
Pré-pago;Masculino;Mediana;Samsung;Cumbuca;Maior cobertura;2997,0;4;52,8;71;38
Pós-pago;Feminino;Sofrível;Motorola;Nenhuma;Qualidade do sinal;6273,0;7;77,2;63;39
Pré-pago;Masculino;Confiável;Gradiente;Cumbuca;Maior cobertura;2220,0;0;183,12;45;40
Pós-pago;Masculino;Confiável;Ericsson;Ferrocom;Maior cobertura;2688,0;8;91,2;67;41
Pós-pago;Masculino;Sofrível;Siemens;Escuridão;Qualidade do sinal;1608,0;7;76,4;66;42
Pós-pago;Feminino;Sofrível;Samsung;Ferrocom;Maior cobertura;4593,0;5;59,0;82;43
Pós-pago;Masculino;Terrível;Motorola;Nenhuma;Tarifa menor;21012,0;10;107,2;95;44
Pós-pago;Masculino;Mediana;Gradiente;Cumbuca;Tarifa menor;7950,0;5;61,8;89;45
Pós-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;13542,0;6;66,8;95;46
Pré-pago;Masculino;Mediana;Samsung;Escuridão;Maior cobertura;1047,0;4;52,2;71;47
Pré-pago;Masculino;Mediana;Motorola;Cumbuca;Maior cobertura;4125,0;6;67,4;70;48
Pré-pago;Masculino;Mediana;Siemens;Ferrocom;Maior cobertura;3510,0;5;57,8;66;49
Pré-pago;Masculino;Mediana;Motorola;Cumbuca;Maior cobertura;6108,0;6;70,6;63;50
Pré-pago;Feminino;Terrível;Gradiente;Escuridão;Maior cobertura;4725,0;6;67,8;65;51
Pré-pago;Feminino;Terrível;Motorola;Cumbuca;Maior cobertura;4770,0;4;52,0;75;52
Pós-pago;Feminino;Sofrível;Motorola;Mortinho;Maior cobertura;6609,0;4;54,4;78;53
Pré-pago;Feminino;Confiável;Gradiente;Cumbuca;Maior cobertura;1522,0;3;37,2;49;54
Pré-pago;Masculino;Mediana;Ericsson;Escuridão;Maior cobertura;5844,0;5;64,4;62;55
Pós-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;9768,0;8;91,2;85;56
Pós-pago;Feminino;Mediana;Siemens;Nenhuma;Maior cobertura;7320,0;6;73,2;91;57
Pós-pago;Masculino;Excelente;Gradiente;Nenhuma;Qualidade do sinal;5586,0;6;67,2;71;58
Pré-pago;Feminino;Confiável;Gradiente;Cumbuca;Maior cobertura;1990,0;3;40,2;62;59
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Qualidade do sinal;3402,0;3;41,8;88;60
Pós-pago;Masculino;Mediana;Motorola;Mortinho;Tarifa menor;12366,0;11;115,4;78;61
Pré-pago;Feminino;Excelente;Ericsson;Cumbuca;Maior cobertura;5049,0;2;34,2;57;62
Pós-pago;Masculino;Sofrível;Siemens;Cumbuca;Maior cobertura;1329,0;2;31,8;56;63
Pré-pago;Feminino;Mediana;Gradiente;Cumbuca;Maior cobertura;1513,0;0;30,52;68;64
Pós-pago;Masculino;Terrível;Samsung;Cumbuca;Tarifa menor;14301,0;6;68,0;88;65
Pós-pago;Masculino;Sofrível;Motorola;Escuridão;Maior cobertura;7320,0;8;85,4;63;66
Pré-pago;Feminino;Confiável;Ericsson;Nenhuma;Maior cobertura;1710,0;5;58,0;58;67
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;20400,0;11;121,6;113;68
Pré-pago;Feminino;Sofrível;Gradiente;Cumbuca;Maior cobertura;1405,0;3;37,4;63;69
Pós-pago;Masculino;Mediana;Gradiente;Nenhuma;Maior cobertura;1929,0;4;51,2;64;70
Pós-pago;Masculino;Mediana;Samsung;Mortinho;Qualidade do sinal;5142,0;7;81,2;69;71
Pós-pago;Feminino;Mediana;Motorola;Ferrocom;Maior cobertura;2379,0;7;84,8;68;72
Pós-pago;Masculino;Terrível;Ericsson;Nenhuma;Qualidade do sinal;13356,0;6;70,8;84;73
Pré-pago;Feminino;Mediana;Ericsson;Cumbuca;Maior cobertura;2045,9999999999998;6;71,2;59;74
Pré-pago;Feminino;Confiável;Motorola;Ferrocom;Maior cobertura;3129,0;6;72,0;64;75
Pós-pago;Feminino;Confiável;Ericsson;Ferrocom;Maior cobertura;4725,0;4;51,4;72;76
Pré-pago;Masculino;Excelente;Gradiente;Mortinho;Maior cobertura;2406,0;4;46,8;82;77
Pré-pago;Masculino;Excelente;Gradiente;Cumbuca;Maior cobertura;1548,0;5;56,8;63;78
Pós-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;8214,0;6;73,4;94;79
Pós-pago;Masculino;Excelente;Motorola;Nenhuma;Qualidade do sinal;10773,0;6;67,4;74;80
Pré-pago;Feminino;Mediana;Samsung;Mortinho;Maior cobertura;3369,0;9;95,6;81;81
Pré-pago;Masculino;Terrível;Ericsson;Nenhuma;Qualidade do sinal;7758,0;5;59,0;94;82
Pré-pago;Masculino;Mediana;Ericsson;Cumbuca;Maior cobertura;2934,0;5;60,4;76;83
Pré-pago;Masculino;Sofrível;Gradiente;Cumbuca;Maior cobertura;3657,0;6;67,4;94;84
Pré-pago;Masculino;Mediana;Samsung;Ferrocom;Maior cobertura;2574,0;4;54,2;72;85
Pré-pago;Feminino;Mediana;Gradiente;Nenhuma;Maior cobertura;2544,0;5;56,2;69;86
Pré-pago;Feminino;Mediana;Ericsson;Nenhuma;Maior cobertura;1411,0;2;30,52;56;87
Pós-pago;Masculino;Terrível;Motorola;Nenhuma;Qualidade do sinal;5484,0;6;70,0;83;88
Pós-pago;Feminino;Excelente;Gradiente;Nenhuma;Qualidade do sinal;4332,0;7;78,2;75;89
Pré-pago;Masculino;Excelente;Gradiente;Escuridão;Maior cobertura;4593,0;6;66,0;71;90
Pré-pago;Feminino;Mediana;Motorola;Escuridão;Maior cobertura;1491,0;4;45,4;69;91
Pré-pago;Feminino;Excelente;Ericsson;Cumbuca;Maior cobertura;1381,0;3;44,4;50;92
Pré-pago;Feminino;Mediana;Ericsson;Ferrocom;Maior cobertura;2021,9999999999998;5;64,0;65;93
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1426,0;6;138,4;44;94
Pós-pago;Masculino;Confiável;Motorola;Nenhuma;Qualidade do sinal;4725,0;6;148,0;76;95
Pós-pago;Masculino;Sofrível;Motorola;Cumbuca;Qualidade do sinal;7821,0;5;64,0;84;96
Pré-pago;Feminino;Mediana;Ericsson;Escuridão;Qualidade do sinal;2904,0;5;64,0;76;97
Pré-pago;Feminino;Confiável;Ericsson;Escuridão;Maior cobertura;1555,0;3;42,4;50;98
Pós-pago;Feminino;Mediana;Samsung;Mortinho;Tarifa menor;7821,0;7;80,4;95;99
Pré-pago;Masculino;Excelente;Motorola;Cumbuca;Maior cobertura;3300,0;1;30,52;62;100
Pós-pago;Masculino;Terrível;Siemens;Ferrocom;Tarifa menor;11427,0;4;45,8;97;101
Pré-pago;Feminino;Confiável;Gradiente;Ferrocom;Maior cobertura;1138,0;1;30,52;35;102
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;13635,0;8;90,6;105;103
Pré-pago;Feminino;Terrível;Motorola;Cumbuca;Maior cobertura;1929,0;4;54,4;76;104
Pós-pago;Feminino;Terrível;Motorola;Nenhuma;Qualidade do sinal;4725,0;4;50,2;92;105
Pré-pago;Feminino;Confiável;Motorola;Escuridão;Maior cobertura;1564,0;3;43,0;60;106
Pré-pago;Feminino;Confiável;Gradiente;Cumbuca;Maior cobertura;2196,0;2;32,8;47;107
Pós-pago;Masculino;Mediana;Motorola;Mortinho;Qualidade do sinal;7506,0;5;55,4;74;108
Pré-pago;Masculino;Confiável;Motorola;Cumbuca;Maior cobertura;8016,0;1;30,52;56;109
Pré-pago;Feminino;Excelente;Ericsson;Cumbuca;Maior cobertura;1509,0;7;77,0;62;110
Pós-pago;Feminino;Terrível;Motorola;Cumbuca;Qualidade do sinal;4248,0;8;85,6;92;111
Pré-pago;Feminino;Excelente;Samsung;Mortinho;Maior cobertura;1951,0;1;30,52;66;112
Pré-pago;Feminino;Sofrível;Motorola;Cumbuca;Maior cobertura;1311,0;5;61,2;77;113
Pré-pago;Feminino;Mediana;Ericsson;Ferrocom;Maior cobertura;2070,0;3;38,6;64;114
Pré-pago;Masculino;Confiável;Ericsson;Cumbuca;Maior cobertura;1063,0;2;32,8;38;115
Pré-pago;Masculino;Mediana;Gradiente;Cumbuca;Maior cobertura;3927,0;3;43,8;67;116
Pré-pago;Feminino;Mediana;Motorola;Cumbuca;Maior cobertura;1398,0;1;30,52;64;117
Pré-pago;Masculino;Mediana;Gradiente;Nenhuma;Maior cobertura;4593,0;6;72,2;75;118
Pré-pago;Feminino;Excelente;Ericsson;Mortinho;Maior cobertura;3030,0;3;35,4;65;119
Pré-pago;Masculino;Confiável;Gradiente;Cumbuca;Maior cobertura;1492,0;4;52,6;52;120
Pós-pago;Feminino;Mediana;Samsung;Mortinho;Qualidade do sinal;8550,0;5;58,6;83;121
Pré-pago;Feminino;Mediana;Ericsson;Escuridão;Maior cobertura;3369,0;4;52,6;71;122
Pré-pago;Masculino;Mediana;Gradiente;Cumbuca;Maior cobertura;2778,0;7;78,2;67;123
Pré-pago;Feminino;Sofrível;Motorola;Ferrocom;Qualidade do sinal;5484,0;5;60,0;85;124
Pré-pago;Feminino;Confiável;Ericsson;Ferrocom;Maior cobertura;3333,0;2;33,6;62;125
Pós-pago;Feminino;Terrível;Gradiente;Nenhuma;Tarifa menor;7695,0;7;80,4;103;126
Pós-pago;Feminino;Terrível;Samsung;Ferrocom;Maior cobertura;8082,000000000001;4;52,8;71;127
Pré-pago;Masculino;Terrível;Samsung;Ferrocom;Qualidade do sinal;13635,0;6;70,2;88;128
Pós-pago;Masculino;Sofrível;Samsung;Nenhuma;Tarifa menor;15696,0;5;63,2;89;129
Pós-pago;Masculino;Terrível;Gradiente;Cumbuca;Qualidade do sinal;16425,0;5;61,6;86;130
Pré-pago;Feminino;Mediana;Ericsson;Ferrocom;Maior cobertura;4043,9999999999995;10;105,2;62;131
Pré-pago;Masculino;Mediana;Samsung;Cumbuca;Maior cobertura;1924,0;2;32,2;70;132
Pós-pago;Feminino;Mediana;Motorola;Nenhuma;Tarifa menor;13542,0;4;45,0;98;133
Pré-pago;Masculino;Confiável;Motorola;Nenhuma;Maior cobertura;1608,0;5;59,4;63;134
Pré-pago;Feminino;Mediana;Gradiente;Cumbuca;Maior cobertura;1645,0;5;61,4;57;135
Pré-pago;Masculino;Mediana;Motorola;Nenhuma;Qualidade do sinal;4593,0;4;47,8;77;136
Pós-pago;Feminino;Sofrível;Samsung;Cumbuca;Qualidade do sinal;4770,0;7;75,2;83;137
Pré-pago;Masculino;Mediana;Samsung;Cumbuca;Maior cobertura;1738,0;2;32,6;78;138
Pré-pago;Feminino;Mediana;Motorola;Ferrocom;Qualidade do sinal;8214,0;9;97,4;82;139
Pré-pago;Masculino;Mediana;Samsung;Escuridão;Maior cobertura;1473,0;0;30,52;60;140
Pré-pago;Feminino;Sofrível;Samsung;Cumbuca;Maior cobertura;1260,0;7;78,0;77;141
Pré-pago;Feminino;Mediana;Gradiente;Escuridão;Maior cobertura;1873,0;4;46,6;62;142
Pré-pago;Masculino;Confiável;Ericsson;Cumbuca;Maior cobertura;4503,0;7;76,8;63;143
Pré-pago;Feminino;Confiável;Motorola;Cumbuca;Maior cobertura;1243,0;4;48,0;61;144
Pré-pago;Feminino;Excelente;Samsung;Nenhuma;Maior cobertura;1507,0;3;35,6;55;145
Pré-pago;Feminino;Confiável;Motorola;Cumbuca;Maior cobertura;1591,0;5;62,8;66;146
Pré-pago;Feminino;Terrível;Samsung;Ferrocom;Maior cobertura;1738,0;4;52,6;66;147
Pós-pago;Masculino;Mediana;Gradiente;Cumbuca;Maior cobertura;3438,0;4;52,0;63;148
Pós-pago;Feminino;Mediana;Samsung;Nenhuma;Qualidade do sinal;10071,0;6;73,8;92;149
Pós-pago;Masculino;Sofrível;Gradiente;Nenhuma;Qualidade do sinal;17835,0;9;101,4;77;150
Pré-pago;Feminino;Mediana;Samsung;Cumbuca;Maior cobertura;1929,0;6;71,4;70;151
Pré-pago;Feminino;Confiável;Motorola;Cumbuca;Maior cobertura;1318,0;6;67,6;47;152
Pré-pago;Masculino;Excelente;Ericsson;Cumbuca;Maior cobertura;2487,0;3;40,8;52;153
Pós-pago;Feminino;Terrível;Samsung;Nenhuma;Tarifa menor;18858,0;5;59,0;98;154
Pré-pago;Masculino;Confiável;Gradiente;Nenhuma;Qualidade do sinal;12900,0;6;73,4;78;155
Pré-pago;Masculino;Sofrível;Motorola;Cumbuca;Qualidade do sinal;4043,9999999999995;5;104,8;93;156
Pré-pago;Masculino;Confiável;Ericsson;Cumbuca;Maior cobertura;2271,0;7;75,2;63;157
Pós-pago;Masculino;Sofrível;Motorola;Nenhuma;Tarifa menor;10071,0;3;41,8;101;158
Pré-pago;Feminino;Sofrível;Motorola;Cumbuca;Maior cobertura;1548,0;9;102,4;73;159
Pré-pago;Masculino;Sofrível;Motorola;Ferrocom;Qualidade do sinal;7632,0;6;66,0;77;160
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;13080,0;7;82,2;95;161
Pós-pago;Masculino;Sofrível;Siemens;Mortinho;Tarifa menor;19440,0;5;63,2;92;162
Pré-pago;Feminino;Confiável;Gradiente;Escuridão;Maior cobertura;3231,0;3;42,2;69;163
Pós-pago;Masculino;Mediana;Ericsson;Mortinho;Tarifa menor;10458,0;2;34,0;86;164
Pré-pago;Masculino;Sofrível;Samsung;Nenhuma;Tarifa menor;10302,0;7;80,6;87;165
Pré-pago;Masculino;Excelente;Motorola;Nenhuma;Qualidade do sinal;3810,0;2;30,52;69;166
Pré-pago;Feminino;Sofrível;Motorola;Cumbuca;Maior cobertura;7260,0;3;41,8;76;167
Pós-pago;Masculino;Mediana;Siemens;Nenhuma;Tarifa menor;24255,0;7;78,4;97;168
Pré-pago;Feminino;Excelente;Gradiente;Ferrocom;Maior cobertura;1197,0;4;50,0;49;169
Pós-pago;Masculino;Sofrível;Gradiente;Escuridão;Maior cobertura;1884,0;4;53,8;78;170
Pós-pago;Feminino;Confiável;Gradiente;Nenhuma;Maior cobertura;3657,0;4;49,6;57;171
Pré-pago;Feminino;Mediana;Ericsson;Cumbuca;Maior cobertura;1548,0;2;33,0;59;172
Pré-pago;Masculino;Sofrível;Samsung;Ferrocom;Qualidade do sinal;4248,0;6;68,4;78;173
Pré-pago;Masculino;Excelente;Siemens;Cumbuca;Maior cobertura;3300,0;5;58,2;80;174
Pré-pago;Feminino;Mediana;Gradiente;Cumbuca;Maior cobertura;1527,0;4;45,4;83;175
Pré-pago;Feminino;Mediana;Samsung;Cumbuca;Maior cobertura;2934,0;5;51,6;78;176
Pré-pago;Feminino;Sofrível;Motorola;Nenhuma;Maior cobertura;1710,0;0;30,52;61;177
Pós-pago;Masculino;Mediana;Gradiente;Nenhuma;Tarifa menor;4680,0;5;56,4;80;178
Pré-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;5094,0;6;73,0;95;179
Pós-pago;Masculino;Sofrível;Siemens;Nenhuma;Tarifa menor;15900,0;6;70,8;84;180
Pós-pago;Masculino;Sofrível;Gradiente;Mortinho;Qualidade do sinal;7380,0;3;43,6;86;181
Pós-pago;Feminino;Excelente;Motorola;Nenhuma;Maior cobertura;5190,0;7;84,8;57;182
Pré-pago;Masculino;Terrível;Motorola;Mortinho;Maior cobertura;10071,0;5;55,2;87;183
Pós-pago;Masculino;Mediana;Samsung;Ferrocom;Qualidade do sinal;6783,0;4;50,8;81;184
Pós-pago;Masculino;Sofrível;Siemens;Nenhuma;Tarifa menor;23187,0;8;93,8;106;185
Pós-pago;Masculino;Sofrível;Siemens;Nenhuma;Tarifa menor;6003,0;5;61,6;93;186
Pré-pago;Masculino;Mediana;Motorola;Ferrocom;Qualidade do sinal;5688,0;5;58,8;82;187
Pré-pago;Feminino;Mediana;Ericsson;Ferrocom;Maior cobertura;5688,0;7;81,4;74;188
Pré-pago;Masculino;Excelente;Samsung;Cumbuca;Maior cobertura;4332,0;6;67,4;75;189
Pós-pago;Masculino;Mediana;Gradiente;Mortinho;Maior cobertura;3621,0;3;43,8;65;190
Pós-pago;Feminino;Sofrível;Samsung;Nenhuma;Qualidade do sinal;6054,0;5;57,2;80;191
Pós-pago;Feminino;Terrível;Siemens;Ferrocom;Tarifa menor;5535,0;7;79,6;87;192
Pós-pago;Masculino;Mediana;Motorola;Escuridão;Qualidade do sinal;3438,0;5;56,2;75;193
Pós-pago;Masculino;Excelente;Gradiente;Cumbuca;Qualidade do sinal;7380,0;6;70,2;77;194
Pré-pago;Feminino;Excelente;Samsung;Cumbuca;Maior cobertura;1483,0;2;30,52;67;195
Pré-pago;Feminino;Terrível;Motorola;Nenhuma;Qualidade do sinal;3300,0;4;48,2;80;196
Pré-pago;Feminino;Confiável;Ericsson;Ferrocom;Maior cobertura;1204,0;5;57,2;65;197
Pré-pago;Masculino;Mediana;Siemens;Cumbuca;Maior cobertura;9693,0;6;72,8;86;198
Pré-pago;Feminino;Confiável;Gradiente;Mortinho;Maior cobertura;1189,0;4;53,4;48;199
Pré-pago;Feminino;Mediana;Samsung;Cumbuca;Maior cobertura;2271,0;8;87,2;71;200
Pós-pago;Masculino;Mediana;Siemens;Nenhuma;Qualidade do sinal;5790,0;3;43,4;63;201
Pré-pago;Feminino;Confiável;Motorola;Escuridão;Maior cobertura;1710,0;2;34,6;56;202
Pré-pago;Feminino;Excelente;Ericsson;Cumbuca;Maior cobertura;1873,0;5;62,0;53;203
Pós-pago;Feminino;Terrível;Motorola;Nenhuma;Tarifa menor;3231,0;6;68,6;87;204
Pré-pago;Feminino;Mediana;Motorola;Cumbuca;Maior cobertura;2631,0;3;42,2;67;205
Pós-pago;Feminino;Confiável;Samsung;Escuridão;Maior cobertura;5688,0;6;70,4;66;206
Pós-pago;Masculino;Mediana;Gradiente;Nenhuma;Qualidade do sinal;11934,0;6;69,2;70;207
Pós-pago;Masculino;Mediana;Ericsson;Escuridão;Maior cobertura;3771,0;2;30,52;52;208
Pré-pago;Feminino;Confiável;Gradiente;Escuridão;Maior cobertura;1689,0;2;30,52;67;209
Pré-pago;Feminino;Mediana;Gradiente;Nenhuma;Qualidade do sinal;3849,0;5;57,6;89;210
Pós-pago;Feminino;Excelente;Gradiente;Cumbuca;Maior cobertura;2601,0;3;36,2;78;211
Pós-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;3231,0;6;65,4;75;212
Pré-pago;Masculino;Sofrível;Samsung;Escuridão;Qualidade do sinal;5790,0;7;83,6;68;213
Pré-pago;Feminino;Mediana;Motorola;Cumbuca;Maior cobertura;1609,0;6;67,0;68;214
Pré-pago;Masculino;Terrível;Samsung;Nenhuma;Qualidade do sinal;4125,0;6;67,6;72;215
Pós-pago;Masculino;Sofrível;Siemens;Nenhuma;Tarifa menor;5949,0;7;77,2;86;216
Pré-pago;Masculino;Mediana;Samsung;Ferrocom;Tarifa menor;14691,0;7;84,6;94;217
Pré-pago;Feminino;Mediana;Gradiente;Ferrocom;Maior cobertura;3621,0;3;41,6;78;218
Pós-pago;Feminino;Mediana;Motorola;Nenhuma;Maior cobertura;6054,0;2;30,6;74;219
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1710,0;6;70,8;48;220
Pré-pago;Feminino;Sofrível;Ericsson;Nenhuma;Maior cobertura;2631,0;5;56,0;69;221
Pré-pago;Feminino;Mediana;Motorola;Cumbuca;Maior cobertura;2070,0;4;51,8;72;222
Pós-pago;Feminino;Sofrível;Siemens;Nenhuma;Qualidade do sinal;7077,0;6;67,6;70;223
Pré-pago;Masculino;Mediana;Motorola;Cumbuca;Maior cobertura;4461,0;3;40,4;67;224
Pré-pago;Masculino;Mediana;Ericsson;Cumbuca;Maior cobertura;1311,0;4;47,6;48;225
Pré-pago;Masculino;Terrível;Motorola;Cumbuca;Qualidade do sinal;6054,0;6;72,8;93;226
Pós-pago;Masculino;Terrível;Motorola;Mortinho;Qualidade do sinal;11262,0;4;53,6;103;227
Pós-pago;Masculino;Sofrível;Samsung;Nenhuma;Qualidade do sinal;7017,0;8;93,2;82;228
Pré-pago;Feminino;Mediana;Motorola;Nenhuma;Maior cobertura;2145,0;6;73,8;88;229
Pré-pago;Feminino;Mediana;Gradiente;Cumbuca;Maior cobertura;1473,0;3;37,2;73;230
Pré-pago;Masculino;Sofrível;Siemens;Nenhuma;Tarifa menor;5094,0;6;74,0;96;231
Pós-pago;Masculino;Mediana;Motorola;Nenhuma;Tarifa menor;9843,0;4;51,4;94;232
Pós-pago;Feminino;Terrível;Ericsson;Nenhuma;Tarifa menor;8688,0;6;72,6;78;233
Pré-pago;Masculino;Confiável;Gradiente;Escuridão;Maior cobertura;4680,0;4;46,8;73;234
Pós-pago;Feminino;Terrível;Motorola;Escuridão;Qualidade do sinal;3162,0;8;86,8;81;235
Pós-pago;Masculino;Terrível;Samsung;Nenhuma;Tarifa menor;5949,0;7;81,6;76;236
Pós-pago;Masculino;Terrível;Motorola;Nenhuma;Tarifa menor;6219,0;5;64,6;85;237
Pré-pago;Masculino;Mediana;Gradiente;Nenhuma;Maior cobertura;1794,0;4;52,8;56;238
Pós-pago;Masculino;Sofrível;Samsung;Nenhuma;Tarifa menor;14397,0;7;75,8;73;239
Pós-pago;Masculino;Terrível;Siemens;Escuridão;Tarifa menor;7758,0;6;68,4;87;240
Pré-pago;Masculino;Confiável;Ericsson;Cumbuca;Maior cobertura;1369,0;3;42,2;68;241
Pós-pago;Masculino;Excelente;Motorola;Cumbuca;Maior cobertura;9180,0;4;48,4;81;242
Pré-pago;Masculino;Terrível;Siemens;Cumbuca;Tarifa menor;12018,0;7;79,8;106;243
Pós-pago;Feminino;Sofrível;Siemens;Cumbuca;Maior cobertura;4248,0;7;78,4;81;244
Pós-pago;Masculino;Terrível;Siemens;Cumbuca;Tarifa menor;2904,0;6;72,0;78;245
Pré-pago;Masculino;Sofrível;Motorola;Nenhuma;Maior cobertura;2352,0;6;67,4;74;246
Pós-pago;Masculino;Terrível;Siemens;Nenhuma;Tarifa menor;12543,0;6;72,8;95;247
Pós-pago;Feminino;Terrível;Ericsson;Nenhuma;Qualidade do sinal;8484,0;8;86,0;76;248
Pré-pago;Feminino;Mediana;Ericsson;Escuridão;Maior cobertura;2904,0;7;78,8;79;249
Pós-pago;Feminino;Mediana;Samsung;Cumbuca;Maior cobertura;5484,0;6;70,2;73;250
Pré-pago;Feminino;Sofrível;Gradiente;Cumbuca;Maior cobertura;3096,0;4;49,6;75;251
Pré-pago;Feminino;Mediana;Ericsson;Nenhuma;Maior cobertura;1839,0;2;30,52;71;252
Pré-pago;Masculino;Mediana;Siemens;Ferrocom;Qualidade do sinal;5949,0;5;55,6;83;253
Pós-pago;Masculino;Mediana;Motorola;Escuridão;Qualidade do sinal;12366,0;8;90,6;81;254
Pós-pago;Masculino;Terrível;Samsung;Ferrocom;Tarifa menor;8214,0;8;93,4;95;255
Pré-pago;Masculino;Confiável;Ericsson;Nenhuma;Maior cobertura;1104,0;3;43,8;50;256
Pré-pago;Masculino;Sofrível;Siemens;Nenhuma;Tarifa menor;13917,0;6;70,2;91;257
Pós-pago;Feminino;Sofrível;Motorola;Nenhuma;Tarifa menor;6162,0;7;77,0;94;258
Pré-pago;Feminino;Sofrível;Siemens;Cumbuca;Maior cobertura;1939,0;3;38,0;82;259
Pré-pago;Feminino;Confiável;Ericsson;Cumbuca;Maior cobertura;1618,0;7;76,6;73;260
Pós-pago;Feminino;Mediana;Samsung;Mortinho;Maior cobertura;2997,0;1;30,52;72;261
Pós-pago;Masculino;Excelente;Motorola;Nenhuma;Maior cobertura;5535,0;5;55,6;75;262
